Extractor,Metodo,Accuracy,Precision,Recall,F1,AUC,Tiempo_Entrenamiento_s,Tiempo_Inferencia_s,Notas
Imagen cruda (CNN),CNN (EfficientNetB0 TL),0.998,0.998,0.998,0.998,0.999964,,,Transfer learning + fine-tuning
GLCM/Haralick,Random Forest,0.987,0.9860279441117764,0.988,0.987012987012987,,7.875561475753784,0.1544530391693115,
GLCM/Haralick,SVM lineal (LinearSVC),0.987,0.9899396378269618,0.984,0.9869608826479438,,0.0346758365631103,0.0010372002919514,
HOG,Random Forest,0.935,0.9289940828402368,0.942,0.93545183714002,,407.6671988964081,0.3200601736704508,
Hu,Random Forest,0.928,0.9131274131274132,0.946,0.9292730844793712,,2.242791175842285,0.1229971249898274,
Hu,SVM lineal (LinearSVC),0.922,0.922,0.922,0.922,,0.0182151794433593,0.0006634394327799,
HOG,SVM lineal (LinearSVC),0.916,0.9210526315789472,0.91,0.9154929577464788,,508.9458112716675,0.2709847291310628,
Zernike,SVM lineal (LinearSVC),0.7,0.6628664495114006,0.814,0.7307001795332136,,0.0141711235046386,0.0016070206960042,
Zernike,Random Forest,0.719,0.7221095334685599,0.712,0.7170191339375629,,4.515775442123413,0.1274205048878987,
