Modelo,Accuracy,Precision,Recall,F1,Tiempo_Entrenamiento_s,Tiempo_Inferencia_s,Notas
SVM lineal (LinearSVC),0.922,0.922,0.922,0.922,0.018215179443359375,0.0006634394327799479,
Random Forest,0.928,0.9131274131274131,0.946,0.9292730844793713,2.242791175842285,0.12299712498982747,
