Modelo,Accuracy,Precision,Recall,F1,Tiempo_Entrenamiento_s,Tiempo_Inferencia_s,Notas
SVM lineal (LinearSVC),0.987,0.9899396378269618,0.984,0.9869608826479438,0.03467583656311035,0.0010372002919514973,
Random Forest,0.987,0.9860279441117764,0.988,0.987012987012987,7.875561475753784,0.15445303916931152,
