Modelo,Accuracy,Precision,Recall,F1,Tiempo_Entrenamiento_s,Tiempo_Inferencia_s,Notas
SVM lineal (LinearSVC),0.916,0.9210526315789473,0.91,0.9154929577464789,508.9458112716675,0.2709847291310628,
Random Forest,0.935,0.9289940828402367,0.942,0.9354518371400199,407.6671988964081,0.32006017367045086,
