Modelo,Accuracy,Precision,Recall,F1,Tiempo_Entrenamiento_s,Tiempo_Inferencia_s,Notas
SVM lineal (LinearSVC),0.7,0.6628664495114006,0.814,0.7307001795332136,0.014171123504638672,0.0016070206960042317,
Random Forest,0.719,0.7221095334685599,0.712,0.7170191339375629,4.515775442123413,0.12742050488789877,
