Metodo,Accuracy,Precision,Recall,F1,AUC,Tiempo_Entrenamiento_s,Tiempo_Inferencia_s,Notas
CNN (EfficientNetB0 TL),0.998,0.998,0.998,0.998,0.999964,,111.8234276500003,Transfer learning + fine-tuning
Random Forest,0.935,0.9289940828402368,0.942,0.93545183714002,,407.6671988964081,0.12505320999989636,
SVM lineal (LinearSVC),0.916,0.9210526315789472,0.91,0.9154929577464788,,508.9458112716675,0.0008435842000835692,
